name,branch_name,category,rating_numeric,total_reviews,total_reviews_int,address,phone,website,maps_url,overview,about,city,source
trust mobile & laptop repairing shop i10 markaz,I10,Mobile phone repair shop,4.9,,,"shop #06, umar shoping centar, i10 markaz, I-10 Markaz I 10 Markaz I-10, Islamabad, 44800, Pakistan",+923006068998,,https://www.google.com/maps/place/trust+mobile+%26+laptop+repairing+shop+i10+markaz,,"General: See photos, 4.9, Mobile phone repair shop, shop #06, umar shoping centar, i10 markaz, I-10 Markaz I 10 Markaz I-10, Islamabad, 44800, Pakistan, Open 24 hours, Tuesday, Suggest new hours, +92 300 6068998, J2WP+GC Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday Open 24 hours Suggest new hours",iphone chargers,google_maps
Apple Center,G7,Cell phone store,4.7,,,"Unit# 5, Rahman Plaza, 75 West Fazal e Haq Road, Block G G 7/3 Blue Area, Islamabad, Pakistan",+923184441444,,https://www.google.com/maps/place/Apple+Center,,"General: See photos, 4.7, Cell phone store, Unit# 5, Rahman Plaza, 75 West Fazal e Haq Road, Block G G 7/3 Blue Area, Islamabad, Pakistan, Located in: Rehman Plaza, Closed, · Opens 9 AM, Tuesday, 9 AM–10 PM, Suggest new hours, +92 318 4441444, P378+J9 Islamabad, Pakistan, Claim this business, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 9 AM–10 PM Suggest new hours",iphone chargers,google_maps
MOIZ MOBILE & GADGETS,E16,Cell phone store,5.0,,,"21, Cabinet Division Employees CHS E-16/3 E-16, Islamabad, 45230, Pakistan",+923315066809,,https://www.google.com/maps/place/MOIZ+MOBILE+%26+GADGETS,,"General: See photos, 5.0, Cell phone store, 21, Cabinet Division Employees CHS E-16/3 E-16, Islamabad, 45230, Pakistan, Closed, · Opens 10:30 AM, Tuesday, 10:30 AM–11 PM, Suggest new hours, +92 331 5066809, MV5Q+93 Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10:30 AM–11 PM Suggest new hours",iphone chargers,google_maps
Atta Naqib Mobile Zone,,Cell phone store,5.0,,,"Nauroz Plaza, Fatehjang Rd, Tarnol, Islamabad, 44000, Pakistan",+923345374837,,https://www.google.com/maps/place/Atta+Naqib+Mobile+Zone,,"General: 5.0, Cell phone store, JWX5+88V, Nauroz Plaza, Fatehjang Rd, Tarnol, Islamabad, 44000, Pakistan, Closed, · Opens 10 AM, Tuesday, 10 AM–8 PM, Suggest new hours, +92 334 5374837, Claim this business, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10 AM–8 PM Suggest new hours",iphone chargers,google_maps
ANZ Mobile,I10,Cell phone store,4.8,,,"Shahnawaz Plaza, Shop 06, Sohni Rd, 1 Markaz I 10 Markaz I-10, Islamabad, 44000, Pakistan",+923150502736,,https://www.google.com/maps/place/ANZ+Mobile,,"General: See photos, 4.8, Cell phone store, Shahnawaz Plaza, Shop 06, Sohni Rd, 1 Markaz I 10 Markaz I-10, Islamabad, 44000, Pakistan, +92 315 0502736, J2WP+GF Islamabad, Pakistan, Claim this business, Add hours, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps",iphone chargers,google_maps
Apple Islamabad Communications,G7,Cell phone store,4.7,,,"Shop 12g, Ittehad center, Block H G 7/2 Blue Area, Islamabad, 44000, Pakistan",+923485225822,,https://www.google.com/maps/place/Apple+Islamabad+Communications,,"Accessibility: Assistive hearing loop, Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible seating, Wheelchair accessible restroom, You're seeing a limited view of Google Maps., Learn more",iphone chargers,google_maps
"Friends laptop, consoles,and mobile accessories",F17,Mobile phone repair shop,5.0,,,"F-17 Main Rd, near sardar mart, markaz F-17/2 F-17, Islamabad, Pakistan",+923002757414,,"https://www.google.com/maps/place/Friends+laptop,+consoles,and+mobile+accessories",,"General: See photos, 5.0, Mobile phone repair shop, F-17 Main Rd, near sardar mart, markaz F-17/2 F-17, Islamabad, Pakistan, Closed, · Opens 4 PM, Tuesday, 4 PM–12:30 AM, Suggest new hours, +92 300 2757414, JVJH+7Q Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 4 PM–12:30 AM Suggest new hours",iphone chargers,google_maps
ProFix Phone Repair Services,G11,Mobile phone repair shop,4.8,,,"Silver City Plaza, Markaz, G-11 Markaz G 11 Markaz G-11, Islamabad, 47000, Pakistan",+923106164303,https://profix.website,https://www.google.com/maps/place/ProFix+Phone+Repair+Services,,"Accessibility: Assisted listening devices, Assistive hearing loop, Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating, You're seeing a limited view of Google Maps., Learn more",iphone chargers,google_maps
Samsung Outlet Minhas Com....,F11,Cell phone store,4.8,,,"shop number 10, Lord Trade Centre, F-11 Markaz F 11 Markaz F-11, Islamabad, Pakistan",+92512107444,,https://www.google.com/maps/place/Samsung+Outlet+Minhas+Com....,,"General: See photos, 4.8, Cell phone store, shop number 10, Lord Trade Centre, F-11 Markaz F 11 Markaz F-11, Islamabad, Pakistan, Located in: Lord Trade Centre, Closed, · Opens 10 AM, Tuesday, 10 AM–11 PM, Suggest new hours, +92 51 2107444, MXMQ+7F Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10 AM–11 PM Suggest new hours",iphone chargers,google_maps
Cellz & Computerz,F11,Cell phone store,4.4,,,"Showroom No.8, Hamza Plaza, Hilal Rd, F-11 Markaz F 11 Markaz F-11, Islamabad, Pakistan",+923005585884,https://computerz.pk,https://www.google.com/maps/place/Cellz+%26+Computerz,,"General: See photos, 4.4, Cell phone store, Showroom No.8, Hamza Plaza, Hilal Rd, F-11 Markaz F 11 Markaz F-11, Islamabad, Pakistan, Located in: Sardar Arcade, Closed, · Opens 11:30 AM, Tuesday, 11:30 AM–10 PM, Suggest new hours, computerz.pk, +92 300 5585884, MXMP+8X Islamabad, Pakistan, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 11:30 AM–10 PM Suggest new hours",iphone chargers,google_maps
Cell City 1 Islamabad,G13,Cell phone store,3.4,,,"36 Street 108, G-13/1 G 13/1 G-13, Islamabad, Pakistan",+923022773194,,https://www.google.com/maps/place/Cell+City+1+Islamabad,,"General: See photos, 3.4, Cell phone store, 36 Street 108, G-13/1 G 13/1 G-13, Islamabad, Pakistan, Closed, · Opens 10:30 AM, Tuesday, 10:30 AM–11:30 PM, Suggest new hours, +92 302 2773194, JXW7+2J Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10:30 AM–11:30 PM Suggest new hours",iphone chargers,google_maps
Apple's Vision,I8,Cell phone store,4.9,,,"Markaz, next to Hair Saloon, near Habibi Restaurant & M&P couriers, I-8 Markaz I 8 Markaz I-8, Islamabad, Pakistan",+923333440002,,https://www.google.com/maps/place/Apple%27s+Vision,,"General: See photos, 4.9, Cell phone store, Markaz, next to Hair Saloon, near Habibi Restaurant & M&P couriers, I-8 Markaz I 8 Markaz I-8, Islamabad, Pakistan, Located in: VIP Plaza, +92 333 3440002, M38F+PQ Islamabad, Pakistan, Claim this business, Add hours, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps",iphone chargers,google_maps
Tech Studio | Apple Studio,NO1,Cell phone store,4.8,,,"Shop No 1, Super Market, Block E, F-6 Markaz F 6 Markaz F-6, Islamabad, 44000, Pakistan",+923257865557,,https://www.google.com/maps/place/Tech+Studio+%7C+Apple+Studio,,"Accessibility: Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating, You're seeing a limited view of Google Maps., Learn more",iphone chargers,google_maps
Mobile Boss and computer,E11,Mobile phone repair shop,4.9,,,"Street No. 45, markaz SCHS E 11/2 E-11, Islamabad, 44800, Pakistan",+923000294898,,https://www.google.com/maps/place/Mobile+Boss+and+computer,,"General: See photos, 4.9, Mobile phone repair shop, Street No. 45, markaz SCHS E 11/2 E-11, Islamabad, 44800, Pakistan, Closes soon, · 2 AM · Reopens 9 AM, Tuesday, 9 AM–2 AM, Suggest new hours, +92 300 0294898, PX2F+4C Islamabad, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 9 AM–2 AM Suggest new hours",iphone chargers,google_maps
Friends Mobile Systems Akhter Plaza,,Store,4.3,,,"46000, New Katarian Satellite Town, 46000, Pakistan",+92515111416,,https://www.google.com/maps/place/Friends+Mobile+Systems+Akhter+Plaza,,"General: See photos, 4.3, Store, 46000, New Katarian Satellite Town, 46000, Pakistan, Closed, · Opens 10 AM, Tuesday, 10 AM–10 PM, Suggest new hours, +92 51 5111416, J3W6+W4 Satellite Town, Rawalpindi, Pakistan, Add website, Add a photo, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10 AM–10 PM Suggest new hours",iphone chargers,google_maps
Al Syed Mobiles & Gadgets Since. 2006 i-8 Markaz Islamabad,I8,Cell phone store,4.8,,,"I-8 Markaz I 8 Markaz I-8, Islamabad, 44000, Pakistan",+923335147779,,https://www.google.com/maps/place/Al+Syed+Mobiles+%26+Gadgets+Since.+2006+i-8+Markaz+Islamabad,,"Accessibility: Wheelchair accessible parking lot, You're seeing a limited view of Google Maps., Learn more",iphone chargers,google_maps
Mobile Empire G9 Markaz Islamabad,G9,Cell phone store,4.6,,,"Shop 16 Ground floor Paragon Centre Mangla Rd, Markaz, G-9 Markaz G-9 Islamabad, 44000, Pakistan",+923009797672,,https://www.google.com/maps/place/Mobile+Empire+G9+Markaz+Islamabad,,"General: See photos, 4.6, Cell phone store, Shop 16 Ground floor Paragon Centre Mangla Rd, Markaz, G-9 Markaz G-9 Islamabad, 44000, Pakistan, Located in: Paragon Centre, Closed, · Opens 10:30 AM, Tuesday, 10:30 AM–10 PM, Suggest new hours, +92 300 9797672, M2RM+82 Islamabad, Pakistan, Add website, Add a photo, MOBI.LINE, No reviews, Mobile phone repair shop, · Opens 8 AM, You're seeing a limited view of Google Maps., Learn more, Get the most out of Google Maps, Hours: Tuesday 10:30 AM–10 PM Suggest new hours",iphone chargers,google_maps
